,date,close,high,low,open,volume
0,2015-01-01 00:00:00+05:30,915.75,931.5,911.62,919.27,48475
1,2015-01-02 00:00:00+05:30,939.27,942.5,919.0,921.0,154493
2,2015-01-05 00:00:00+05:30,939.92,963.47,936.15,944.5,172236
3,2015-01-06 00:00:00+05:30,940.95,955.0,925.0,942.5,114142
4,2015-01-07 00:00:00+05:30,997.87,1004.45,945.97,945.97,473737
5,2015-01-08 00:00:00+05:30,984.6,1008.5,981.2,1005.05,226447
6,2015-01-09 00:00:00+05:30,972.65,989.9,963.52,988.0,241537
7,2015-01-12 00:00:00+05:30,966.0,987.5,961.0,977.0,138391
8,2015-01-13 00:00:00+05:30,966.7,985.0,962.75,974.0,231848
9,2015-01-14 00:00:00+05:30,973.02,987.5,966.5,975.5,329106
10,2015-01-15 00:00:00+05:30,967.07,1000.0,960.5,1000.0,190902
11,2015-01-16 00:00:00+05:30,964.35,979.92,958.5,972.5,197901
12,2015-01-19 00:00:00+05:30,954.32,971.0,948.25,970.0,140438
13,2015-01-20 00:00:00+05:30,960.37,970.95,955.0,956.0,129237
14,2015-01-21 00:00:00+05:30,957.52,967.5,948.0,956.0,135299
15,2015-01-22 00:00:00+05:30,950.57,962.45,948.12,955.25,143831
16,2015-01-23 00:00:00+05:30,957.32,963.5,953.0,960.0,230051
17,2015-01-27 00:00:00+05:30,957.17,970.0,952.5,965.0,113739
18,2015-01-28 00:00:00+05:30,956.87,960.2,952.5,960.0,227760
19,2015-01-29 00:00:00+05:30,954.17,962.45,950.05,962.45,88687
20,2015-01-30 00:00:00+05:30,944.5,957.5,937.55,957.5,100300
21,2015-02-02 00:00:00+05:30,950.05,955.6,944.5,944.5,162006
22,2015-02-03 00:00:00+05:30,962.12,969.0,955.32,958.5,240081
23,2015-02-04 00:00:00+05:30,947.05,981.85,940.6,977.5,340145
24,2015-02-05 00:00:00+05:30,926.75,953.25,923.12,952.22,153241
25,2015-02-06 00:00:00+05:30,939.57,943.6,928.55,935.0,251003
26,2015-02-09 00:00:00+05:30,941.07,957.95,932.0,936.5,343053
27,2015-02-10 00:00:00+05:30,966.62,969.5,950.97,952.0,179871
28,2015-02-11 00:00:00+05:30,964.85,968.5,953.0,968.5,195027
29,2015-02-12 00:00:00+05:30,983.75,987.5,962.5,968.8,534151
30,2015-02-13 00:00:00+05:30,1011.45,1020.0,950.0,988.0,322463
31,2015-02-16 00:00:00+05:30,1017.1,1022.5,1000.0,1017.0,281729
32,2015-02-18 00:00:00+05:30,1027.9,1042.5,1004.1,1022.47,147738
33,2015-02-19 00:00:00+05:30,1040.55,1049.97,1025.0,1037.5,132525
34,2015-02-20 00:00:00+05:30,1048.77,1058.5,1022.5,1041.0,166433
35,2015-02-23 00:00:00+05:30,1030.2,1050.0,1022.5,1050.0,187173
36,2015-02-24 00:00:00+05:30,1036.5,1044.0,1025.5,1031.0,89086
37,2015-02-25 00:00:00+05:30,1034.7,1041.47,1022.5,1040.0,177607
38,2015-02-26 00:00:00+05:30,1027.82,1049.17,1016.97,1035.5,172743
39,2015-02-27 00:00:00+05:30,1041.72,1053.5,1024.32,1027.84,259758
40,2015-03-02 00:00:00+05:30,1061.2,1081.47,1028.12,1049.0,390979
41,2015-03-03 00:00:00+05:30,1084.32,1094.5,1060.0,1061.0,373909
42,2015-03-04 00:00:00+05:30,1076.25,1097.5,1072.02,1088.0,227500
43,2015-03-05 00:00:00+05:30,1105.37,1123.0,1077.5,1078.0,405278
44,2015-03-09 00:00:00+05:30,1099.67,1105.5,1077.87,1102.5,179452
45,2015-03-10 00:00:00+05:30,1078.02,1106.09,1058.25,1105.0,156789
46,2015-03-11 00:00:00+05:30,1077.5,1100.5,1070.0,1081.5,99255
47,2015-03-12 00:00:00+05:30,1098.32,1107.5,1079.55,1081.0,252424
48,2015-03-13 00:00:00+05:30,1078.47,1108.32,1071.09,1102.0,109240
49,2015-03-16 00:00:00+05:30,1075.25,1084.9,1062.52,1082.0,72911
50,2015-03-17 00:00:00+05:30,1095.47,1109.4,1077.5,1085.0,210959
51,2015-03-18 00:00:00+05:30,1098.32,1125.0,1092.5,1100.0,247249
52,2015-03-19 00:00:00+05:30,1103.57,1119.84,1075.0,1104.95,162998
53,2015-03-20 00:00:00+05:30,1066.72,1119.5,1040.17,1119.5,557787
54,2015-03-23 00:00:00+05:30,1051.34,1069.5,1040.5,1069.5,50567
55,2015-03-24 00:00:00+05:30,1074.37,1079.12,1052.5,1052.5,103673
56,2015-03-25 00:00:00+05:30,1080.67,1085.0,1052.9,1052.9,125959
57,2015-03-26 00:00:00+05:30,1096.9,1105.0,1072.5,1083.32,155962
